year,city,region,city_tier,population_approx,median_salary_gross_gbp_monthly,median_salary_net_gbp_monthly,median_salary_gross_gbp_annual,national_median_gross_gbp_monthly,national_median_gross_gbp_annual,national_min_wage_gbp_monthly,national_nlw_hourly_gbp,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_gbp,rent_1br_outside_center_gbp,meal_cheap_restaurant_gbp,groceries_monthly_gbp,public_transport_monthly_gbp,est_monthly_cost_single_gbp,affordability_ratio,rent_to_income_pct,data_source
2014,Ealing,London,city_medium,340000,3013,2184,36156,2267,27200,1127,6.5,1.329,1.5,64.3,608,506,9,202,55,1018,2.15,16.8,ons_modeled
2015,Ealing,London,city_medium,340000,3044,2207,36528,2304,27645,1161,6.7,1.321,0.1,65.3,619,512,9,197,52,1016,2.17,16.8,ons_modeled
2016,Ealing,London,city_medium,340000,3026,2194,36312,2350,28195,1248,7.2,1.288,0.7,64.6,657,527,9,194,53,1029,2.13,17.4,ons_modeled
2017,Ealing,London,city_medium,340000,3172,2300,38064,2413,28954,1300,7.5,1.315,2.7,65.0,625,532,10,202,55,1066,2.16,16.8,ons_modeled
2018,Ealing,London,city_medium,340000,3284,2381,39408,2463,29559,1357,7.83,1.333,2.5,65.0,682,565,10,205,55,1104,2.16,17.2,ons_modeled
2019,Ealing,London,city_medium,340000,3251,2357,39012,2532,30378,1423,8.21,1.284,1.7,65.1,714,524,10,221,58,1084,2.17,16.1,ons_modeled
2020,Ealing,London,city_medium,340000,3290,2385,39480,2622,31461,1511,8.72,1.255,0.9,65.7,660,535,10,224,58,1098,2.17,16.3,ons_modeled
2021,Ealing,London,city_medium,340000,3384,2453,40608,2648,31772,1544,8.91,1.278,2.5,64.6,680,569,10,223,58,1133,2.17,16.8,ons_modeled
2022,Ealing,London,city_medium,340000,3638,2638,43656,2750,33000,1647,9.5,1.323,9.1,65.1,797,648,10,249,64,1252,2.11,17.8,ons_modeled
2023,Ealing,London,city_medium,340000,3802,2756,45624,2914,34963,1806,10.42,1.305,7.3,64.8,800,635,12,248,69,1289,2.14,16.7,ons_modeled
2024,Ealing,London,city_medium,340000,4039,2928,48468,3119,37430,1983,11.44,1.295,2.6,65.0,842,698,12,263,70,1371,2.14,17.3,ons_modeled
2010,Barnet,London,city_medium,392000,2857,2071,34284,2157,25879,1028,5.93,1.325,3.3,64.7,579,462,8,176,48,913,2.27,16.2,ons_modeled
2011,Barnet,London,city_medium,392000,3052,2213,36624,2183,26200,1054,6.08,1.398,4.5,65.0,620,476,8,190,51,947,2.34,15.6,ons_modeled
2012,Barnet,London,city_medium,392000,3052,2213,36624,2208,26500,1073,6.19,1.382,2.8,65.3,585,494,8,196,54,976,2.27,16.2,ons_modeled
2013,Barnet,London,city_medium,392000,2949,2138,35388,2250,27000,1094,6.31,1.311,2.6,65.2,628,498,8,191,53,975,2.19,16.9,ons_modeled
2014,Barnet,London,city_medium,392000,2992,2169,35904,2267,27200,1127,6.5,1.32,1.5,65.3,632,494,9,205,53,1007,2.15,16.5,ons_modeled
2015,Barnet,London,city_medium,392000,3004,2178,36048,2304,27645,1161,6.7,1.304,0.1,64.9,631,495,9,204,52,1006,2.17,16.5,ons_modeled
2016,Barnet,London,city_medium,392000,3198,2319,38376,2350,28195,1248,7.2,1.361,0.7,65.2,641,486,9,202,53,996,2.33,15.2,ons_modeled
2017,Barnet,London,city_medium,392000,3123,2264,37476,2413,28954,1300,7.5,1.294,2.7,64.4,676,543,9,212,56,1068,2.12,17.4,ons_modeled
2018,Barnet,London,city_medium,392000,3222,2336,38664,2463,29559,1357,7.83,1.308,2.5,65.0,706,564,10,205,55,1103,2.12,17.5,ons_modeled
2019,Barnet,London,city_medium,392000,3289,2385,39468,2532,30378,1423,8.21,1.299,1.7,64.3,657,557,10,216,57,1111,2.15,16.9,ons_modeled
2020,Barnet,London,city_medium,392000,3378,2449,40536,2622,31461,1511,8.72,1.288,0.9,64.6,689,554,9,219,58,1092,2.24,16.4,ons_modeled
2021,Barnet,London,city_medium,392000,3344,2424,40128,2648,31772,1544,8.91,1.263,2.5,65.5,678,558,10,214,58,1113,2.18,16.7,ons_modeled
2022,Barnet,London,city_medium,392000,3611,2618,43332,2750,33000,1647,9.5,1.313,9.1,65.6,749,590,11,239,68,1208,2.17,16.3,ons_modeled
2023,Barnet,London,city_medium,392000,3815,2766,45780,2914,34963,1806,10.42,1.309,7.3,65.7,847,695,11,251,70,1333,2.08,18.2,ons_modeled
2024,Barnet,London,city_medium,392000,3919,2841,47028,3119,37430,1983,11.44,1.256,2.6,65.8,829,694,12,260,73,1367,2.08,17.7,ons_modeled
2010,Brighton,South East,city_large,290000,2194,1591,26328,2157,25879,1028,5.93,1.017,3.3,76.7,728,542,8,186,59,1014,1.57,24.7,numbeo
2011,Brighton,South East,city_large,290000,2227,1615,26724,2183,26200,1054,6.08,1.02,4.5,77.5,750,593,9,194,60,1097,1.47,26.6,numbeo
2012,Brighton,South East,city_large,290000,2343,1699,28116,2208,26500,1073,6.19,1.061,2.8,77.8,771,590,9,206,62,1110,1.53,25.2,numbeo
2013,Brighton,South East,city_large,290000,2317,1680,27804,2250,27000,1094,6.31,1.03,2.6,77.4,776,648,10,217,63,1201,1.4,28.0,numbeo
2014,Brighton,South East,city_large,290000,2378,1724,28536,2267,27200,1127,6.5,1.049,1.5,77.6,838,629,10,209,61,1174,1.47,26.5,numbeo
2015,Brighton,South East,city_large,290000,2429,1761,29148,2304,27645,1161,6.7,1.054,0.1,77.9,802,664,10,214,64,1217,1.45,27.3,numbeo
2016,Brighton,South East,city_large,290000,2450,1776,29400,2350,28195,1248,7.2,1.043,0.7,78.1,841,635,10,225,64,1199,1.48,25.9,numbeo
2017,Brighton,South East,city_large,290000,2439,1768,29268,2413,28954,1300,7.5,1.011,2.7,79.1,850,642,10,221,65,1205,1.47,26.3,numbeo
2018,Brighton,South East,city_large,290000,2547,1847,30564,2463,29559,1357,7.83,1.034,2.5,78.1,894,679,10,230,65,1253,1.47,26.7,numbeo
2019,Brighton,South East,city_large,290000,2544,1844,30528,2532,30378,1423,8.21,1.005,1.7,79.2,863,670,11,240,70,1281,1.44,26.3,numbeo
2020,Brighton,South East,city_large,290000,2601,1886,31212,2622,31461,1511,8.72,0.992,0.9,78.8,920,678,11,230,69,1278,1.48,26.1,numbeo
2021,Brighton,South East,city_large,290000,2662,1930,31944,2648,31772,1544,8.91,1.005,2.5,79.6,952,701,11,239,72,1315,1.47,26.3,numbeo
2022,Brighton,South East,city_large,290000,2671,1936,32052,2750,33000,1647,9.5,0.971,9.1,80.2,1032,770,12,266,75,1442,1.34,28.8,numbeo
2023,Brighton,South East,city_large,290000,2819,2044,33828,2914,34963,1806,10.42,0.967,7.3,80.0,1119,805,13,274,81,1517,1.35,28.6,numbeo
2024,Brighton,South East,city_large,290000,3007,2180,36084,3119,37430,1983,11.44,0.964,2.6,80.6,1116,856,14,286,84,1606,1.36,28.5,numbeo
2010,Reading,South East,city_large,230000,2473,1793,29676,2157,25879,1028,5.93,1.146,3.3,75.6,741,579,9,193,58,1077,1.66,23.4,numbeo
2011,Reading,South East,city_large,230000,2383,1728,28596,2183,26200,1054,6.08,1.092,4.5,75.2,766,619,9,209,59,1137,1.52,26.0,numbeo
2012,Reading,South East,city_large,230000,2461,1784,29532,2208,26500,1073,6.19,1.115,2.8,75.9,825,637,10,202,62,1173,1.52,25.9,numbeo
2013,Reading,South East,city_large,230000,2545,1845,30540,2250,27000,1094,6.31,1.131,2.6,75.2,839,594,9,221,64,1132,1.63,23.3,numbeo
2014,Reading,South East,city_large,230000,2460,1784,29520,2267,27200,1127,6.5,1.085,1.5,75.7,835,629,10,214,65,1183,1.51,25.6,numbeo
2015,Reading,South East,city_large,230000,2562,1857,30744,2304,27645,1161,6.7,1.112,0.1,75.8,791,666,9,218,65,1204,1.54,26.0,numbeo
2016,Reading,South East,city_large,230000,2637,1912,31644,2350,28195,1248,7.2,1.122,0.7,76.5,824,657,10,227,62,1221,1.57,24.9,numbeo
2017,Reading,South East,city_large,230000,2629,1906,31548,2413,28954,1300,7.5,1.09,2.7,76.6,858,676,10,229,66,1248,1.53,25.7,numbeo
2018,Reading,South East,city_large,230000,2641,1915,31692,2463,29559,1357,7.83,1.072,2.5,76.2,827,693,10,231,66,1269,1.51,26.2,numbeo
2019,Reading,South East,city_large,230000,2799,2029,33588,2532,30378,1423,8.21,1.105,1.7,77.1,868,672,10,240,71,1264,1.61,24.0,numbeo
2020,Reading,South East,city_large,230000,2847,2064,34164,2622,31461,1511,8.72,1.086,0.9,76.6,912,665,10,228,68,1242,1.66,23.4,numbeo
2021,Reading,South East,city_large,230000,2743,1989,32916,2648,31772,1544,8.91,1.036,2.5,77.1,931,722,11,236,71,1332,1.49,26.3,numbeo
2022,Reading,South East,city_large,230000,2862,2075,34344,2750,33000,1647,9.5,1.041,9.1,77.2,972,765,12,272,79,1447,1.43,26.7,numbeo
2023,Reading,South East,city_large,230000,3047,2209,36564,2914,34963,1806,10.42,1.046,7.3,77.5,1030,797,13,276,81,1511,1.46,26.2,numbeo
2024,Reading,South East,city_large,230000,3292,2387,39504,3119,37430,1983,11.44,1.055,2.6,77.4,1106,881,13,288,83,1612,1.48,26.8,numbeo
2010,Oxford,South East,city_large,152000,2610,1892,31320,2157,25879,1028,5.93,1.21,3.3,81.6,735,570,9,200,58,1075,1.76,21.8,numbeo
2011,Oxford,South East,city_large,152000,2491,1806,29892,2183,26200,1054,6.08,1.141,4.5,82.4,732,580,9,195,58,1083,1.67,23.3,numbeo
2012,Oxford,South East,city_large,152000,2598,1884,31176,2208,26500,1073,6.19,1.177,2.8,82.6,766,609,10,210,61,1152,1.64,23.4,numbeo
2013,Oxford,South East,city_large,152000,2594,1881,31128,2250,27000,1094,6.31,1.153,2.6,82.9,803,606,10,208,64,1151,1.63,23.4,numbeo
2014,Oxford,South East,city_large,152000,2594,1881,31128,2267,27200,1127,6.5,1.144,1.5,82.7,845,625,10,225,62,1187,1.58,24.1,numbeo
2015,Oxford,South East,city_large,152000,2752,1995,33024,2304,27645,1161,6.7,1.194,0.1,82.6,838,650,10,212,65,1202,1.66,23.6,numbeo
2016,Oxford,South East,city_large,152000,2789,2022,33468,2350,28195,1248,7.2,1.187,0.7,83.4,786,662,10,217,63,1217,1.66,23.7,numbeo
2017,Oxford,South East,city_large,152000,2828,2050,33936,2413,28954,1300,7.5,1.172,2.7,82.9,822,628,10,219,66,1190,1.72,22.2,numbeo
2018,Oxford,South East,city_large,152000,2858,2072,34296,2463,29559,1357,7.83,1.16,2.5,83.8,880,658,10,235,70,1242,1.67,23.0,numbeo
2019,Oxford,South East,city_large,152000,2831,2052,33972,2532,30378,1423,8.21,1.118,1.7,84.3,883,697,10,241,71,1290,1.59,24.6,numbeo
2020,Oxford,South East,city_large,152000,3022,2191,36264,2622,31461,1511,8.72,1.153,0.9,84.0,860,688,10,228,68,1265,1.73,22.8,numbeo
2021,Oxford,South East,city_large,152000,3022,2191,36264,2648,31772,1544,8.91,1.141,2.5,84.4,953,741,11,249,68,1361,1.61,24.5,numbeo
2022,Oxford,South East,city_large,152000,3185,2309,38220,2750,33000,1647,9.5,1.158,9.1,84.5,1007,751,11,263,75,1400,1.65,23.6,numbeo
2023,Oxford,South East,city_large,152000,3297,2390,39564,2914,34963,1806,10.42,1.131,7.3,84.2,1075,826,13,293,83,1559,1.53,25.1,numbeo
2024,Oxford,South East,city_large,152000,3540,2566,42480,3119,37430,1983,11.44,1.135,2.6,85.3,1115,851,14,283,87,1601,1.6,24.0,numbeo
2010,Guildford,South East,city_medium,80000,2608,1891,31296,2157,25879,1028,5.93,1.209,3.3,79.1,539,474,8,179,50,930,2.03,18.2,numbeo
2011,Guildford,South East,city_medium,80000,2613,1894,31356,2183,26200,1054,6.08,1.197,4.5,79.1,568,464,9,189,49,952,1.99,17.8,numbeo
2012,Guildford,South East,city_medium,80000,2684,1946,32208,2208,26500,1073,6.19,1.216,2.8,78.6,624,471,9,190,50,963,2.02,17.5,numbeo
2013,Guildford,South East,city_medium,80000,2557,1854,30684,2250,27000,1094,6.31,1.136,2.6,78.9,645,492,9,188,54,987,1.88,19.2,numbeo
2014,Guildford,South East,city_medium,80000,2664,1931,31968,2267,27200,1127,6.5,1.175,1.5,79.7,645,507,9,200,54,1016,1.9,19.0,numbeo
2015,Guildford,South East,city_medium,80000,2760,2001,33120,2304,27645,1161,6.7,1.198,0.1,80.6,656,508,9,202,54,1019,1.96,18.4,numbeo
2016,Guildford,South East,city_medium,80000,2740,1986,32880,2350,28195,1248,7.2,1.166,0.7,80.4,647,513,9,193,55,1016,1.95,18.7,numbeo
2017,Guildford,South East,city_medium,80000,2766,2005,33192,2413,28954,1300,7.5,1.146,2.7,79.9,635,540,10,199,54,1070,1.87,19.5,numbeo
2018,Guildford,South East,city_medium,80000,2891,2096,34692,2463,29559,1357,7.83,1.174,2.5,80.1,693,549,9,210,56,1074,1.95,19.0,numbeo
2019,Guildford,South East,city_medium,80000,2873,2083,34476,2532,30378,1423,8.21,1.135,1.7,80.8,679,568,9,211,60,1100,1.89,19.8,numbeo
2020,Guildford,South East,city_medium,80000,2924,2120,35088,2622,31461,1511,8.72,1.115,0.9,81.5,681,532,10,217,57,1087,1.95,18.2,numbeo
2021,Guildford,South East,city_medium,80000,3053,2213,36636,2648,31772,1544,8.91,1.153,2.5,81.9,721,581,10,216,58,1138,1.94,19.0,numbeo
2022,Guildford,South East,city_medium,80000,3010,2182,36120,2750,33000,1647,9.5,1.095,9.1,81.4,774,634,11,236,64,1245,1.75,21.1,numbeo
2023,Guildford,South East,city_medium,80000,3296,2390,39552,2914,34963,1806,10.42,1.131,7.3,82.3,840,646,11,265,68,1296,1.84,19.6,numbeo
2024,Guildford,South East,city_medium,80000,3537,2564,42444,3119,37430,1983,11.44,1.134,2.6,82.0,827,653,12,262,73,1328,1.93,18.5,numbeo
2010,Milton Keynes,South East,city_large,270000,2237,1622,26844,2157,25879,1028,5.93,1.037,3.3,67.2,759,567,9,192,56,1062,1.53,25.3,numbeo
2011,Milton Keynes,South East,city_large,270000,2280,1653,27360,2183,26200,1054,6.08,1.044,4.5,66.8,778,602,9,194,62,1108,1.49,26.4,numbeo
2012,Milton Keynes,South East,city_large,270000,2250,1631,27000,2208,26500,1073,6.19,1.019,2.8,67.4,804,591,10,202,61,1126,1.45,26.3,numbeo
2013,Milton Keynes,South East,city_large,270000,2381,1726,28572,2250,27000,1094,6.31,1.058,2.6,67.6,776,643,9,207,65,1168,1.48,27.0,numbeo
2014,Milton Keynes,South East,city_large,270000,2336,1694,28032,2267,27200,1127,6.5,1.03,1.5,67.6,823,632,10,210,62,1179,1.44,27.1,numbeo
2015,Milton Keynes,South East,city_large,270000,2332,1691,27984,2304,27645,1161,6.7,1.012,0.1,68.3,848,605,10,219,63,1162,1.46,25.9,numbeo
2016,Milton Keynes,South East,city_large,270000,2468,1789,29616,2350,28195,1248,7.2,1.05,0.7,68.1,810,626,10,221,64,1186,1.51,25.4,numbeo
2017,Milton Keynes,South East,city_large,270000,2447,1774,29364,2413,28954,1300,7.5,1.014,2.7,68.1,837,668,10,226,66,1237,1.43,27.3,numbeo
2018,Milton Keynes,South East,city_large,270000,2467,1789,29604,2463,29559,1357,7.83,1.002,2.5,68.9,863,651,10,226,66,1222,1.46,26.4,numbeo
2019,Milton Keynes,South East,city_large,270000,2639,1913,31668,2532,30378,1423,8.21,1.042,1.7,69.4,857,668,11,227,67,1263,1.51,25.3,numbeo
2020,Milton Keynes,South East,city_large,270000,2735,1983,32820,2622,31461,1511,8.72,1.043,0.9,69.0,911,677,11,233,72,1283,1.55,24.8,numbeo
2021,Milton Keynes,South East,city_large,270000,2722,1973,32664,2648,31772,1544,8.91,1.028,2.5,69.0,924,735,11,250,73,1361,1.45,27.0,numbeo
2022,Milton Keynes,South East,city_large,270000,2685,1947,32220,2750,33000,1647,9.5,0.976,9.1,70.0,988,739,12,264,77,1411,1.38,27.5,numbeo
2023,Milton Keynes,South East,city_large,270000,2986,2165,35832,2914,34963,1806,10.42,1.025,7.3,69.3,1046,822,12,293,80,1532,1.41,27.5,numbeo
2024,Milton Keynes,South East,city_large,270000,3100,2248,37200,3119,37430,1983,11.44,0.994,2.6,70.3,1054,836,14,281,83,1580,1.42,27.0,numbeo
2010,Southampton,South East,city_large,250000,2158,1565,25896,2157,25879,1028,5.93,1.0,3.3,68.4,707,582,9,188,57,1074,1.46,27.0,numbeo
2011,Southampton,South East,city_large,250000,2127,1542,25524,2183,26200,1054,6.08,0.974,4.5,68.3,777,571,9,208,62,1091,1.41,26.8,numbeo
2012,Southampton,South East,city_large,250000,2262,1640,27144,2208,26500,1073,6.19,1.024,2.8,68.7,782,613,9,211,62,1138,1.44,27.1,numbeo
2013,Southampton,South East,city_large,250000,2239,1623,26868,2250,27000,1094,6.31,0.995,2.6,68.7,827,632,10,220,61,1186,1.37,28.2,numbeo
2014,Southampton,South East,city_large,250000,2201,1596,26412,2267,27200,1127,6.5,0.971,1.5,68.8,814,606,9,222,61,1144,1.4,27.5,numbeo
2015,Southampton,South East,city_large,250000,2236,1621,26832,2304,27645,1161,6.7,0.97,0.1,69.0,854,659,10,222,62,1218,1.33,29.5,numbeo
2016,Southampton,South East,city_large,250000,2281,1654,27372,2350,28195,1248,7.2,0.971,0.7,69.1,810,630,10,213,65,1183,1.4,27.6,numbeo
2017,Southampton,South East,city_large,250000,2292,1662,27504,2413,28954,1300,7.5,0.95,2.7,69.0,812,642,10,219,68,1206,1.38,28.0,numbeo
2018,Southampton,South East,city_large,250000,2416,1752,28992,2463,29559,1357,7.83,0.981,2.5,69.6,847,682,10,237,69,1267,1.38,28.2,numbeo
2019,Southampton,South East,city_large,250000,2527,1832,30324,2532,30378,1423,8.21,0.998,1.7,69.9,866,670,11,239,69,1279,1.43,26.5,numbeo
2020,Southampton,South East,city_large,250000,2571,1864,30852,2622,31461,1511,8.72,0.981,0.9,70.0,914,673,11,232,70,1276,1.46,26.2,numbeo
2021,Southampton,South East,city_large,250000,2606,1889,31272,2648,31772,1544,8.91,0.984,2.5,70.8,879,693,11,235,73,1304,1.45,26.6,numbeo
2022,Southampton,South East,city_large,250000,2539,1841,30468,2750,33000,1647,9.5,0.923,9.1,70.6,953,807,11,270,74,1462,1.26,31.8,numbeo
2023,Southampton,South East,city_large,250000,2772,2010,33264,2914,34963,1806,10.42,0.951,7.3,70.7,1062,793,13,279,82,1511,1.33,28.6,numbeo
2024,Southampton,South East,city_large,250000,3036,2201,36432,3119,37430,1983,11.44,0.973,2.6,70.4,1093,846,13,286,82,1574,1.4,27.9,numbeo
2010,Portsmouth,South East,city_large,213000,2173,1575,26076,2157,25879,1028,5.93,1.007,3.3,65.9,734,551,8,187,58,1023,1.54,25.4,numbeo
2011,Portsmouth,South East,city_large,213000,2141,1552,25692,2183,26200,1054,6.08,0.981,4.5,65.0,778,584,9,207,57,1098,1.41,27.3,numbeo
2012,Portsmouth,South East,city_large,213000,2123,1539,25476,2208,26500,1073,6.19,0.962,2.8,65.6,825,631,10,201,61,1165,1.32,29.7,numbeo
2013,Portsmouth,South East,city_large,213000,2161,1567,25932,2250,27000,1094,6.31,0.96,2.6,65.6,803,643,9,205,60,1161,1.35,29.8,numbeo
2014,Portsmouth,South East,city_large,213000,2193,1590,26316,2267,27200,1127,6.5,0.967,1.5,66.7,808,642,10,212,65,1194,1.33,29.3,numbeo
2015,Portsmouth,South East,city_large,213000,2200,1595,26400,2304,27645,1161,6.7,0.955,0.1,66.2,857,630,10,220,66,1191,1.34,28.6,numbeo
